,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
258,CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH,319765,Toa Payoh,"59, 231, 141",TOA PAYOH,GIRLS' SCHOOL,PRIMARY
259,CHIJ (KELLOCK),121 QUEENSWAY,149059,Commonwealth Station,"32,93,100,105,111,122,123,145,147,153, 186,195,196,198,855,961,970",BUKIT MERAH,GIRLS' SCHOOL,PRIMARY
260,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,Hougang MRT,"74, 136, 147, 102, 112, 113, 119, 136",HOUGANG,GIRLS' SCHOOL,PRIMARY
261,DE LA SALLE SCHOOL,11 CHOA CHU KANG ST 52,689285,YEW TEE MRT,"TIBS 302, 979",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY
262,ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE,359337,"Potong Pasir,Toa Payoh","8,13,26,31,90,90A,107,133,142,147,853, NR6",TOA PAYOH,BOYS' SCHOOL,PRIMARY
263,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,Bedok MRT,17,BEDOK,GIRLS' SCHOOL,PRIMARY
264,ST. GABRIEL'S PRIMARY SCHOOL,220 LORONG CHUAN,556742,Lor Chuan MRT Station (Circle Line),"73, 105, 105A, 159",SERANGOON,BOYS' SCHOOL,PRIMARY
265,ST. MARGARET'S PRIMARY SCHOOL,99 WILKIE ROAD,228091,"Dhoby Ghuat, Little India (NEL)","64, 65, 65M, 85, 97, 103, 111, 131, 139",CENTRAL,GIRLS' SCHOOL,PRIMARY
266,ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD,309331,Novena,21;54;56;57;124;131;166;518;851,NOVENA,BOYS' SCHOOL,PRIMARY
267,ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW,455789,Kembangan MRT Station,"2,7,24,25,26,28,30,32,33,67,854",BEDOK,BOYS' SCHOOL,PRIMARY
268,CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE,558979,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",SERANGOON,GIRLS' SCHOOL,PRIMARY
269,MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,Hougang MRT & Bus Interchange,"74,88,101,147,161,",HOUGANG,BOYS' SCHOOL,PRIMARY
270,CHIJ OUR LADY QUEEN OF PEACE,4 CHESTNUT DRIVE,679287,"Bukit Batok, Cashew, Hillview, Bukit Panjang","180, 67, 171, 176, 177, 178, 184, 961, 963, 970",BUKIT PANJANG,GIRLS' SCHOOL,PRIMARY
271,FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD,139648,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",QUEENSTOWN,CO-ED SCHOOL,PRIMARY
272,GEYLANG METHODIST SCHOOL (PRIMARY),4 GEYLANG EAST CENTRAL,389706,Aljunied,"80, 134, 155",GEYLANG,CO-ED SCHOOL,PRIMARY
273,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13,579793,Bishan MRT Station,"76, 132, 165, 166, 169, 265, 268, 269",BISHAN,CO-ED SCHOOL,PRIMARY
274,ST. HILDA'S PRIMARY SCHOOL,2 TAMPINES AVE 3,529706,Tampines,Feeder Bus service: 293 from Tampines Interchange (towards St 71),TAMPINES,CO-ED SCHOOL,PRIMARY
275,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,60 DUNEARN ROAD,309434,"Newton, Botanic Gardens, Stevens","66, 105, 132, 151, 153, 154, 156, 170, 67, 171, 186, 190, 700, 960,605",NOVENA,GIRLS' SCHOOL,PRIMARY
276,METHODIST GIRLS' SCHOOL (PRIMARY),11 BLACKMORE DRIVE,599986,King Albert Park MRT,"66, 67, 74, 151, 154, 157, 170, 171,174",BUKIT TIMAH,GIRLS' SCHOOL,PRIMARY
277,NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080,Sengkang Station,"156, 159, 161, 371, 372",SENG KANG,CO-ED SCHOOL,PRIMARY
278,CANOSSA CATHOLIC PRIMARY SCHOOL,1 SALLIM ROAD,387621,na,na,GEYLANG,CO-ED SCHOOL,PRIMARY
279,KONG HWA SCHOOL,350 GUILLEMARD ROAD,399772,Dakota,"Service 7,70,70M,197(to Guillemard Road)",GEYLANG,CO-ED SCHOOL,PRIMARY
280,MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867,Punggol Station,"3,62,83",PUNGGOL,CO-ED SCHOOL,PRIMARY
